ids,followers,monthly_listeners,popularity,num_releases,num_tracks,playlists_distintas,antiguedad,genero,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
7ebBg3BuRFa2satTcY8whC,54728.0,498595.5,44.5,20.0,1.0,1.0,5.0,pop,0.0708,0.728,0.88,3.51e-05,0.0925,-4.648,0.0429,136.042,0.323
7eehGkMnqCS6Hp7HJIXH9e,20390.333333333332,2010964.3333333333,58.5,20.0,1.1666666666666667,1.0,1.0,electronica,0.11301,0.6345000000000001,0.8594999999999999,0.406501085,0.1066,-5.1635,0.1493,139.103,0.2595
7emRV8AluG3d4e5T0DZiK9,492310.0,1055997.0,50.0,9.0,18.0,1.0,53.0,rock,0.464,0.587,0.714,0.0,0.0825,-6.765,0.0479,81.749,0.955
7euJV43X9MeQnoQFSELd25,1853.0,9192.0,17.0,9.0,1.0,1.0,6.0,country y folk,0.979,0.681,0.133,0.858,0.0573,-16.834,0.0894,114.7,0.531
7ezufohumWc050JeTn0kqZ,51508.0,151981.0,45.0,20.0,1.0,1.0,22.0,latino y caribe,0.38066666666666665,0.6603333333333333,0.7493333333333333,6.566666666666667e-07,0.26166666666666666,-5.272666666666667,0.04523333333333334,167.38633333333334,0.6776666666666666
7f0OLhGgBMX9fUjm1dcPip,349868.8,1961642.2,53.8,16.8,1.0,4.0,7.0,pop,0.04094333333333333,0.6829999999999999,0.7153333333333333,6.341666666666666e-05,0.164,-6.649666666666666,0.041466666666666666,130.32666666666668,0.5539999999999999
7f4ignuCJhLXfZ9giKT7rH,7366911.333333333,3705696.3333333335,67.66666666666667,20.0,1.0,2.0,8.0,coreano,0.038779499999999995,0.7355,0.7555000000000001,2.755e-06,0.15115,-3.774,0.19999999999999998,104.0195,0.6855
7f5Zgnp2spUuuzKplmRkt7,2779606.5714285714,25275281.85714286,76.71428571428571,20.0,2.142857142857143,5.0,8.0,electronica,0.2924428571428571,0.7022857142857143,0.7071428571428572,0.0001322857142857143,0.18039999999999998,-7.154000000000001,0.07510000000000001,122.84257142857143,0.438
7f7ACBPPCHUj6Bi1x0gLqr,306.5,120644.25,38.0,5.5,1.0,1.0,3.0,instrumental,0.993,0.343,0.0133,0.948,0.101,-25.855,0.0416,72.186,0.14
7fFA5wvCHgJ4SIqCuIYFNm,7443.0,35195.5,28.0,7.0,1.0,1.0,10.0,sin genero,0.389,0.607,0.748,0.000629,0.797,-8.129,0.0348,139.157,0.963
7fNB0WFwLcyrJh0shYe6Zv,71.0,5222.0,9.0,1.0,17.0,1.0,8.0,otro,0.994,0.134,0.105,0.855,0.125,-25.24,0.0423,81.11,0.0388
7fQMET8UaHL3gpH9LhqINM,11514.0,1680478.0,50.0,20.0,1.0,1.0,3.0,electronica,0.00032,0.799,0.954,0.808,0.0744,-5.597,0.0685,128.001,0.846
7fQVHvcP2LSpPU3pNU7wKA,781.0,172252.0,34.0,20.0,1.0,1.0,5.0,instrumental,0.202,0.736,0.374,0.815,0.363,-7.918,0.153,79.997,0.831
7fa7p6L4mza4Dpk9j6u4Ym,497.0,159926.0,31.0,13.0,3.0,1.0,10.0,electronica,0.00708,0.673,0.949,0.823,0.139,-5.978,0.0558,125.002,0.0939
7feJmqQ32fTIPKBmPXwHXf,30818.0,165678.0,39.0,10.0,3.0,1.0,5.0,electronica,0.0133,0.684,0.905,0.831,0.0867,-7.164,0.0428,133.006,0.287
7fgL4SG4e92nmJ3GuTpz58,148186.0,437517.5,41.666666666666664,4.0,1.0,1.0,3.0,pop,0.532,0.713,0.387,3.69e-05,0.199,-8.404,0.0502,131.987,0.206
7fmKtIgmxqNEKjATioVNsu,206991.0,321399.0,41.0,20.0,12.0,1.0,52.0,otro,0.224,0.577,0.827,2.16e-05,0.13,-7.152,0.202,195.996,0.886
7fmuw46A73YYDDI1AV6KZd,1934.0,20122.0,25.0,20.0,12.0,1.0,14.0,otro,0.99,0.652,0.0447,0.815,0.081,-21.702,0.0714,113.468,0.907
7foyQbi7GKriLiv1GPVEwt,46285.0,343279.0,43.0,20.0,5.0,1.0,10.0,country y folk,0.07619999999999999,0.583,0.687,0.00107577,0.1535,-8.4435,0.03395,117.97749999999999,0.7055
7fsO7iJz8gv776THRffk0A,72598.0,223877.0,44.0,20.0,1.0,1.0,19.0,pop,0.27949999999999997,0.3,0.5685,0.03621,0.08235,-9.639,0.0392,101.999,0.12805
7g6rklSRWpUUeX8czkiTqM,255.0,45729.0,27.0,3.0,2.0,1.0,3.0,instrumental,0.917,0.147,0.00695,0.959,0.112,-36.138,0.0369,139.161,0.0415
7gAppWoH7pcYmphCVTXkzs,5788508.0,6835668.0,62.0,20.0,2.0,1.0,10.0,pop,0.0041,0.538,0.804,0.0,0.33,-5.194,0.0358,144.992,0.507
7gHscNMDI8FF8pcgrV8eIn,462781.0,3813201.0,61.0,20.0,1.0,2.0,8.0,rock,0.1184,0.302,0.7605,0.0,0.08545,-5.149,0.11649999999999999,72.4665,0.3185
7gOdHgIoIKoe4i9Tta6qdD,7506802.833333333,16911076.666666668,73.66666666666667,20.0,2.0,3.0,18.0,pop,0.010919714285714286,0.7002857142857143,0.7888571428571429,1.7542857142857145e-06,0.24618571428571429,-4.581428571428572,0.05932857142857143,112.88042857142857,0.6775714285714286
7gP3bB2nilZXLfPHJhMdvc,3729776.5,19453952.0,69.0,20.0,1.0,2.0,13.0,rock,0.10295,0.6905,0.73,0.057502205,0.0998,-4.548500000000001,0.03135,116.5025,0.7605
7gRGh8w4G9zaFJSaIYp8HH,56254.0,1433298.0,54.0,20.0,1.0,1.0,12.0,rock,0.781,0.465,0.371,0.0262,0.104,-10.758,0.0305,74.892,0.281
7gSjFKpVmDgC2MMsnN8CYq,2041413.0,2561775.0,61.0,20.0,1.0,1.0,16.0,pop,0.66,0.5,0.638,0.0,0.366,-4.007,0.0756,81.145,0.698
7gU9VyFRN3JWPJ5oHOil60,1296035.0,8238817.5,74.0,20.0,2.0,1.0,7.0,pop,0.3455,0.624,0.5945,5.102e-05,0.09045,-6.9845,0.12045,153.461,0.626
7gW0r5CkdEUMm42w9XpyZO,3542928.25,13394993.25,78.875,20.0,1.0,6.0,4.0,country y folk,0.9315714285714286,0.43242857142857144,0.25185714285714284,0.027541028571428573,0.09987142857142858,-12.561571428571428,0.05234285714285714,100.19114285714285,0.30847142857142856
