ids,names,popularity,markets,artists,release_date,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,musicalkey,musicalmode,time_signature,count,dates,playlists_found,loudness_zscore,tempo_minmax
3SACy41KdVLlyXHhaV8NrF,when you miss someone,0.0,0.0,5GJWwpX2tnOruZviItXvM6,2023-02-01,185920.0,0.224,0.565,0.471,0.00661,0.113,-10.661,0.0268,108.404,0.322,7.0,1.0,4.0,1.0,2024-04-17,Relax & Unwind,0.017257661955733722,0.4017607257364058
31dqpLUModJWNbxrXu6TWd,shot in the dark,63.0,185.0,6ZLTlhejhndI4Rh53vYhrY,1986-02-22,256293.0,0.00835,0.581,0.791,6.02e-05,0.142,-7.262,0.0324,123.887,0.619,6.0,1.0,3.0,2.0,"2024-04-06, 2024-05-03","VOLUME, Heavy Metal",0.38253297142689235,0.48477326098845125
7nDImE3NrWzpmOb3r2oV50,lookin' for you,34.0,185.0,6g10GEtmIVqIQBhPZh4ScQ,2022-09-09,225933.0,0.553,0.522,0.493,0.00311,0.105,-5.853,0.0356,143.964,0.171,6.0,1.0,4.0,1.0,2024-04-05,Country by the Grace of God,0.5339518920049631,0.592416655050023
5eSJivBPBv5cJDd8rC3TZS,twilight living,30.0,185.0,3BO07jDo7Qs7qNLdwRoISM,2024-05-03,227626.0,0.391,0.467,0.672,0.0989,0.186,-7.147,0.0666,154.084,0.514,2.0,0.0,4.0,1.0,2024-05-03,undercurrents,0.3948915064634275,0.6466753165982179
0rLhCmGwVdTnhpDtckZ1dC,bat phone,52.0,185.0,"30C5wgn4celhRP3Tytv7R6, 0H39MdGGX6dbnnQPt6NQkZ, 1peoXq0RPx7czVoFjloeDQ",2024-04-19,204339.0,0.381,0.627,0.638,0.0,0.28,-6.552,0.286,80.074,0.417,4.0,0.0,4.0,1.0,2024-04-19,New Music Friday,0.4588334920872403,0.24986864256838626
2QzMJkYUhThZxM94ahgOzN,burn one down,58.0,184.0,45lorWzrKLxfKlWpV7r9CN,1995-01-01,211626.0,0.573,0.857,0.404,0.733,0.0958,-10.669,0.0444,105.068,0.302,5.0,1.0,4.0,1.0,2024-04-26,Beach Vibes,0.016397937779279,0.383874668925657
0azC730Exh71aQlOt9Zj3y,this is what you came for,86.0,185.0,"7CajNmpbOovFoOoasH2HaY, 5pKCCKE2ajJHZ9KAiaK11H",2016-04-29,222160.0,0.199,0.631,0.927,0.119,0.148,-2.787,0.0332,123.962,0.465,9.0,0.0,4.0,5.0,"2024-04-11, 2024-04-26, 2024-04-16","Summer Party, Gold School, Cardio, Good Vibes",0.8634411826311981,0.4851753755750239
4prm1PK1B7a2j8ELfro1rB,it ain't safe,49.0,185.0,77IKXFvO7SpWrq8hflrUXc,2024-02-16,177664.0,0.00852,0.611,0.67,0.0,0.288,-6.289,0.039,120.067,0.251,8.0,1.0,4.0,1.0,2024-05-03,The Flow,0.4870969243881861,0.464292224712354
6hDdCDnxu7omTDIKC1BICK,falling (with njomza & daniel allan),48.0,183.0,"7wg1qvie3KqDNQbAkTdbX0, 3zOUpziwcfY2bCh4VyJ4Am, 5JQ1XqKJ2Art01rF4tu1Ra",2024-03-29,204675.0,0.187,0.631,0.626,0.0249,0.194,-7.751,0.0373,148.06,0.535,2.0,1.0,4.0,5.0,"2024-05-09, 2024-05-03, 2024-04-12, 2024-04-05, 2024-04-26","mint, creamy",0.32998233114110337,0.6143774730047074
6tTeRmhhuwDl5Y4UiJdHuO,attention (with justin bieber),60.0,136.0,"5yOvAmpIR7hVxiS6Ls5DPO, 1uNFoZAHBGtllmzznpCI3s",2022-03-03,180563.0,0.172,0.817,0.72,0.000726,0.109,-8.134,0.0809,119.989,0.384,5.0,0.0,4.0,2.0,"2024-04-11, 2024-04-04",Summer Vibes,0.2888230361933382,0.46387402554231855
68s9Rkn9dyuonMXZXkKvWo,"dance, dance, dance",45.0,173.0,6oBm8HB0yfrIc9IHbxs6in,2008-06-02,221253.0,0.581,0.752,0.681,0.00556,0.147,-7.348,0.043,122.331,0.729,7.0,1.0,4.0,2.0,"2024-04-13, 2024-04-14",Lorem,0.3732909365300051,0.4764307236990253
3Sai4fMUmuKDfDEhOvpDnQ,the sweetness lies within,22.0,185.0,6B4yZT4AZbcEH90zluBhTK,2007-11-12,255226.0,0.0108,0.516,0.57,0.000463,0.193,-8.2,0.0407,131.093,0.401,0.0,1.0,4.0,1.0,2024-04-25,Throwback Thursday,0.28173031173758767,0.5234084304663457
0WtM2NBVQNNJLh6scP13H8,calm down (with selena gomez),84.0,183.0,"46pWGuE3dSwY3bMMXGBvVS, 0C8ZW7ezQVs4URX5aX7Kqx",2022-08-25,239317.0,0.382,0.801,0.806,0.000669,0.114,-5.206,0.0381,106.999,0.802,11.0,1.0,4.0,6.0,"2024-05-09, 2024-04-19, 2024-04-05, 2024-04-16, 2024-04-08, 2024-04-15","Daily Lift, Afro Bars , Pop Right Now, Good Vibes",0.6034820847757308,0.39422777914794593
7uhvf8LckR9OYmmiJ53wJW,final love song,67.0,185.0,5wA7TzIKrDqmlnEFk6t1y4,2024-04-04,197962.0,0.00125,0.636,0.67,7.83e-05,0.0941,-5.679,0.0358,121.993,0.274,5.0,0.0,4.0,8.0,"2024-04-18, 2024-04-07, 2024-04-29, 2024-04-11, 2024-04-30, 2024-04-23, 2024-04-08, 2024-04-22",K-Pop ON! (온),0.5526508928428512,0.4746185272955381
5JKk6Gh5CLlwpbPz48eWtB,cohete,75.0,185.0,"0EmeFodog0BfCgMzAIvKQp, 1mcTU81TzQhprhouKaTkpq",2024-03-22,172503.0,0.158,0.749,0.687,4.58e-06,0.136,-4.418,0.0304,119.968,0.656,1.0,1.0,4.0,1.0,2024-04-12,Summer Vibes,0.6881649161565114,0.4637614334580782
1CV6EB87upvFxfxJzFyL5T,flags,0.0,0.0,6AyATGg7mDgBlZ4N5uNog0,2020-01-10,209511.0,0.479,0.592,0.401,3.42e-05,0.128,-12.386,0.0328,136.476,0.194,7.0,1.0,4.0,1.0,2024-04-19,Deep Dark Indie,-0.16812036359229468,0.5522695347266157
1C4NlMtgmBUOKzfW61sTYD,how things blend,16.0,0.0,"1s7kBMoO84Vhl5aYQx4LOO, 7t8PD6GvlbqByM0g7ysSHH",2024-02-08,156625.0,0.99,0.273,0.0218,0.926,0.106,-30.684,0.0321,134.561,0.174,1.0,1.0,4.0,3.0,"2024-05-08, 2024-05-01, 2024-04-16",Focus Piano,-2.134524486188135,0.5420022089494623
4E1u837bZx5Oqg0KqMtxoI,wanna win (feat. 03 greedo),36.0,185.0,"0ROLbpYHvwZWVbPBibRwPU, 0FtsMKmZEq8fBWqdSOWtqp",2023-09-22,149677.0,0.041,0.55,0.671,0.0,0.361,-5.474,0.0769,94.23,0.291,2.0,0.0,4.0,4.0,"2024-05-02, 2024-05-05, 2024-04-05, 2024-05-01",Westside Story,0.574681324864501,0.32576643040200737
69j0KoPJuwpnbGWrfn7Yll,picture (feat. sheryl crow),68.0,171.0,"7dOBabd5O4CvKrg4iriHTM, 4TKTii6gnOnUXQHyuo9JaD",2001-11-19,298960.0,0.172,0.692,0.496,6.42e-06,0.107,-7.332,0.0241,97.945,0.376,7.0,1.0,4.0,1.0,2024-04-02,Country Gold,0.3750103848829144,0.3456845062569029
1Q9PFubjsupZOcz8Br2QAh,infectious smile,49.0,185.0,3Vhd8Gg0oT6hpsl8bnxZ2Y,2024-04-12,155542.0,0.993,0.378,0.0244,0.933,0.1,-31.632,0.0388,65.349,0.115,2.0,0.0,4.0,3.0,"2024-04-24, 2024-04-17, 2024-04-18",Jazz for Sleep,-2.2364018010980082,0.17092014540463452
37WgviAL9YLn5HHCCFZLmd,always wanna talk,39.0,183.0,"7o7mC95EDbJKTcPAAs8C3r, 6409kgOB4tZEkNZci6BiUs",2024-03-15,171058.0,0.00624,0.465,0.933,0.559,0.11,-1.248,0.347,187.857,0.178,5.0,0.0,4.0,2.0,"2024-04-26, 2024-04-12",Dubstep Don,1.0288306210766565,0.8277501956957655
0sZEwII5Qe3r7izOgdOvLT,skeu skeu (feat. wilsko & 7ia),61.0,184.0,"6kByPyGr60aeCsb8TGOWav, 1d38UPGn8PJ9XekumcIBha, 7736wQOIPocKi5hEg7l3hG",2023-10-10,181786.0,0.153,0.747,0.707,1.7e-06,0.108,-5.943,0.0614,102.043,0.581,4.0,0.0,4.0,1.0,2024-04-04,Summer Vibes,0.5242799950198486,0.3676560472672293
6IBcOGPsniK3Pso1wHIhew,forever after all,76.0,185.0,718COspgdWOnwOFpJHRZHS,2020-10-23,232533.0,0.191,0.487,0.65,0.0,0.0933,-5.195,0.0253,151.964,0.456,0.0,1.0,4.0,2.0,"2024-04-02, 2024-04-12","Country by the Grace of God, Breakout Country",0.604664205518356,0.6353088776177659
3LuSjVLN13xR6WO01Mv5ta,shut up,58.0,185.0,2LiqbH7OhqP0yuaG8VL1wJ,2024-04-05,192000.0,0.106,0.823,0.571,0.0,0.0919,-5.204,0.0969,110.027,0.385,1.0,0.0,4.0,2.0,"2024-05-09, 2024-05-08",Afro Bars,0.6036970158198446,0.41046248538983665
6NXG22PY2M8tdRU5WNKGjn,compress,48.0,183.0,2gzWmhOZhDN6gXL49JW9qj,2024-04-04,194811.0,0.0971,0.423,0.514,1.94e-05,0.131,-9.837,0.307,76.437,0.248,1.0,1.0,4.0,2.0,"2024-05-09, 2024-05-08",Afro Bars,0.10580925213056004,0.23036876588352614
72ha7F3FCjTFXFkUHt4fMe,years,59.0,183.0,3oVcF3VdpMuvMvLLyHPT4t,2022-06-29,179013.0,0.259,0.641,0.574,5.92e-06,0.277,-8.071,0.0336,146.801,0.55,6.0,0.0,4.0,2.0,"2024-04-17, 2024-04-19","Relax & Unwind, Indigo",0.2955933640829184,0.6076273094781088
60O3TTCYh6LZFNKiicBodq,talking too much,48.0,185.0,"4fu0Er7pG6kZZa7Awf3NMI, 1nrJKGxkiSY6FjJRXcc9CB",2024-03-08,234666.0,0.218,0.641,0.677,0.645,0.0833,-8.421,0.0323,134.972,0.233,8.0,1.0,4.0,2.0,"2024-05-09, 2024-05-03",creamy,0.2579804313630287,0.54420579688388
2nvb9TWAONy5kzsqEUyT2z,chasing the bus,45.0,185.0,6tpaMMCs8X6o8j9H5OmWmT,2024-01-30,188550.0,0.834,0.647,0.457,0.135,0.138,-10.248,0.145,126.249,0.543,3.0,0.0,4.0,1.0,2024-05-02,Sin dato,0.061640922565203746,0.4974371897015773
4TlIIHzB3LgHmrPofscKtv,janet,40.0,185.0,2kcVXlSyLmHdET22JmJ4jK,2022-06-29,115764.0,0.675,0.54,0.618,0.715,0.115,-12.812,0.0758,169.902,0.328,8.0,0.0,4.0,2.0,"2024-04-28, 2024-05-07",'fit check,-0.21390067598850346,0.7314839636702873
77mExXdHBmXHy2Ge14T3l9,flowers,50.0,185.0,"5uA8O34StZ6xb6rFLKXgZR, 6VUJvKOKnSE0RHbbtqfgKH",2023-04-21,231560.0,0.0803,0.848,0.571,0.0,0.218,-8.064,0.0687,127.978,0.905,0.0,1.0,4.0,1.0,2024-05-03,Summer Sunshine Reggae,0.2963456227373162,0.5067072713040307
3Pc4BTWoH6x0PmeGfQzn5a,rebel heart,40.0,184.0,7LrFQFaZaxfa9deqkjvc89,2016-06-10,238924.0,0.00132,0.392,0.884,6.79e-05,0.35,-3.374,0.0385,169.123,0.508,0.0,1.0,4.0,1.0,2024-04-19,Sin dato,0.8003589211838399,0.7273073334977534
4LGMSdeKOUoy5Wf75Je0Hl,can i get a...,61.0,181.0,"3nFkdlSjzX9mRTtwJOzDYB, 6NzM38IkXdbQsQ4qW9CG7z, 1J2VVASYAamtQ3Bt8wGgA6",1998-11-29,309773.0,0.0619,0.792,0.694,2.32e-05,0.25,-8.496,0.33,177.094,0.804,8.0,0.0,4.0,7.0,"2024-05-09, 2024-04-19, 2024-04-05, 2024-04-29, 2024-04-11, 2024-05-07, 2024-04-25",Gold School,0.24992051720876643,0.7700440717586883
7DoMGZLVzga3vhyZlb0hBX,an honest mistake,55.0,2.0,2bcrMsFlF632EQ6VZERWFu,2005-01-01,219706.0,3.29e-06,0.465,0.883,0.506,0.101,-4.259,0.0297,140.047,0.644,2.0,0.0,4.0,1.0,2024-04-04,Throwback Thursday,0.705251934163547,0.5714155505752919
2e2yKavdT6WQzzMHwNtPFa,in the yuma (feat. aatig),69.0,183.0,"5Igpc9iLZ3YGtKeYfSrrOE, 21OabQwzpxuFNxp7p781Ao",2022-11-11,156215.0,0.000251,0.83,0.897,0.779,0.132,-4.796,0.0626,126.028,0.936,1.0,0.0,4.0,2.0,"2024-04-06, 2024-04-05","Summer House 2024, Dance Party",0.6475429488190303,0.4962522920531435
0aZG8KWrpRnsGL0loUkfSj,plot twist,76.0,185.0,4GgBKgxhc649frZDHcXIEz,2024-01-22,152400.0,0.0102,0.808,0.71,0.0,0.144,-4.798,0.0752,112.066,0.73,5.0,1.0,4.0,22.0,"2024-04-02, 2024-04-03, 2024-04-19, 2024-04-29, 2024-04-11, 2024-04-04, 2024-05-09, 2024-04-18, 2024-04-17, 2024-04-22, 2024-05-08, 2024-04-01, 2024-04-30, 2024-04-23, 2024-04-08, 2024-04-25, 2024-04-15, 2024-05-05, 2024-04-09, 2024-04-10, 2024-04-16, 2024-04-24","WOR K  OUT, Hallyu Boy Bands, K-Pop ON! (온)",0.6473280177749167,0.42139464061679016
7kStxK6rzxka5SRlg1lzhz,let me live (feat. anne-marie & mr eazi) - acoustic,42.0,183.0,"4WN5naL3ofxrVBgFpguzKo, 738wLrAtLtCtFOLvQBXOXp, 1zNqDE7qDGCsyzJwohVaoX, 4TAoP0f9OuWZUesao43xUW",2018-08-17,218049.0,0.539,0.68,0.547,0.0,0.0877,-4.762,0.0414,142.053,0.641,8.0,1.0,4.0,2.0,2024-04-12,"Daily Lift, UK House Music",0.6511967765689626,0.5821707753841534
4ndxCrtl74lgOdF6Lz7bIq,love 119,70.0,12.0,2jOm3cYujQx6o1dxuiuqaX,2024-01-05,173489.0,0.447,0.752,0.75,0.0,0.288,-4.666,0.0468,98.524,0.419,8.0,1.0,4.0,13.0,"2024-05-09, 2024-04-18, 2024-04-17, 2024-05-05, 2024-04-29, 2024-04-30, 2024-04-23, 2024-04-24, 2024-04-16, 2024-04-22, 2024-05-08, 2024-04-25, 2024-04-15","WOR K  OUT, Hallyu Boy Bands, K-Pop ON! (온)",0.661513466686418,0.34878883086524337
3TsEwqrURyeNNVbVrHID9R,w.i.r. - sven väth remix,25.0,185.0,0i2Q9WRxWu788ndngfKT26,2016-07-22,392000.0,0.00842,0.874,0.449,0.767,0.317,-12.784,0.208,126.496,0.271,1.0,1.0,4.0,1.0,2024-04-04,Time Warp Guest List,-0.21089164137091243,0.4987614870733564
0H8ukN2MIW2iNvqJP1kb4O,everything is free,46.0,185.0,2H5elA2mJKrHmqkN9GSfkz,2001-07-31,288000.0,0.94,0.686,0.143,7.65e-05,0.0792,-14.701,0.042,101.651,0.351,0.0,1.0,4.0,1.0,2024-04-19,Front Porch,-0.41690304715385185,0.36555432836140983
5nxgnk2YmJRZUr1k0QvEIK,as day fades into night,64.0,185.0,5Q3USAuNC7NpbhO9JqN2uK,2023-12-26,192984.0,0.995,0.171,0.0039,0.902,0.114,-39.542,0.0493,137.778,0.0561,3.0,1.0,3.0,1.0,2024-04-06,Sleep,-3.0864540805675182,0.5592502439495158
1ls2PNiOHOxmSfHRyslgAl,shiver,76.0,185.0,"7kNqXtgeIwFtelmRjWv205, 4yX6mpMyBGf9UfvBB8JJrc",2024-02-14,234330.0,0.0013,0.537,0.924,3.42e-05,0.108,-4.616,0.034,127.025,0.0623,4.0,0.0,4.0,5.0,"2024-05-09, 2024-04-12, 2024-04-05, 2024-04-10, 2024-05-08","creamy, Heart Beats, Summer House 2024, Cardio",0.6668867427892595,0.5015977352906484
4opznVLpxrmFrklI8Xdu4a,fly trap,34.0,185.0,4489Zgs4RNq2ZtSh3UnOxZ,2024-02-08,138591.0,0.101,0.837,0.706,0.0,0.0998,-6.862,0.108,104.96,0.387,9.0,1.0,4.0,1.0,2024-04-26,Alternative Hip-Hop,0.42551918024962354,0.3832956239209925
0gET2J2Mq8ym97aOSffW1P,love is enough,41.0,185.0,"7wU1naftD3lNq7rNsiDvOR, 7AzAtQ0LFRXazvHMDx620D",2024-04-05,176417.0,0.00541,0.464,0.723,0.024,0.212,-6.372,0.034,133.916,0.225,0.0,1.0,4.0,1.0,2024-04-12,Trance Mission,0.47817728605746934,0.5385440235049379
6UN73IYd0hZxLi8wFPMQij,players,74.0,183.0,6AMd49uBDJfhf30Ak2QR5s,"November 30, 2022",139560.0,0.0269,0.948,0.512,8.57e-06,0.0504,-5.74,0.146,105.004,0.599,6.0,0.0,4.0,4.0,"2024-04-08, 2024-05-09, 2024-04-12, 2024-05-05","Daily Lift, Get Turnt, Pop Right Now",0.5460954959973846,0.3835315311451151
2d9LkMjwhSXsVJ0WVF7y3i,lo siento,35.0,185.0,7i6bx5ASeX99tjQYqahDXL,2024-03-26,175632.0,0.00605,0.67,0.868,0.64,0.0747,-5.37,0.0396,141.963,0.574,2.0,1.0,4.0,1.0,2024-04-11,Fresh Finds,0.585857739158411,0.5816882378802664
6j3PRPNWLutE3CutDzH4uI,humo,82.0,185.0,"37230BxxYs9ksS7OkZw3IU, 12GqGscKJx3aE4t07u7eVZ",2024-04-04,198081.0,0.0488,0.832,0.829,3.53e-06,0.0918,-2.815,0.0892,178.06,0.647,10.0,0.0,4.0,1.0,2024-04-26,Viva Latino,0.8604321480136069,0.7752233076337433
5vC5C7G92VJ4s9lXqtOXKY,before you,66.0,185.0,3tzbuAF9yZZHThB1ykHj0A,2024-02-02,142582.0,0.989,0.391,0.0507,0.931,0.0953,-32.078,0.0403,129.442,0.3,10.0,1.0,4.0,8.0,"2024-04-03, 2024-04-09, 2024-05-07, 2024-04-23, 2024-04-22, 2024-05-01, 2024-04-04, 2024-04-15","Peaceful Piano, calm vibes",-2.284331423935354,0.5145565480339278
6DFHSmlrZLDZnXV5kTTMF6,"patt (party all the time) - adam beyer, layton giordani & green velvet remix",65.0,182.0,"7rVEQZBDtYmToQaYOQJCm2, 1btv9qmIpbp7q1ixCYNdHu, 7mC3RkNNTV6p2j9w4F8Ip4, 3ABaec4jjl95VqmG1iD4k2",2024-04-05,183157.0,0.000566,0.645,0.847,0.00619,0.105,-4.169,0.0334,133.062,0.34,11.0,1.0,4.0,2.0,"2024-04-06, 2024-04-12","mint, Dance Party",0.7149238311486616,0.5339652787458314
3ceTUPvI4JAuSwFWfeB7Ym,selfish soul,39.0,185.0,2MPHBxznH1fj59jbOWY38u,2022-05-18,142666.0,0.0206,0.677,0.551,0.269,0.088,-7.963,0.0293,106.954,0.246,7.0,1.0,4.0,2.0,"2024-04-28, 2024-05-07",'fit check,0.3071996404650558,0.3939865103960024
51EC3I1nQXpec4gDk0mQyP,90210 (feat. kacy hill),81.0,185.0,"0Y5tJX1MQlPlqiwlOH1tJY, 4dYQmk5ma04mZ1KJ9KkAQK",2015-09-04,339066.0,0.113,0.402,0.527,8.48e-06,0.105,-6.737,0.0917,81.42,0.31,9.0,0.0,4.0,4.0,"2024-05-02, 2024-05-03","RapCaviar, Indie Shuffle, Get Turnt, Power Gaming",0.4389523705067271,0.257085259015409
2NBflxsb2XJnTEBrFXy5XF,dreamscape,51.0,185.0,2VRrzTvF7rhgjNGUXLxFSk,2023-07-25,146142.0,0.995,0.601,0.0101,0.941,0.0972,-31.702,0.0378,69.976,0.554,11.0,1.0,4.0,6.0,"2024-04-03, 2024-04-23, 2024-04-10, 2024-04-22, 2024-05-01, 2024-04-04",Instrumental Study,-2.2439243876419863,0.1957279346322528
6dh7NjjEtFePbapHtQeMsq,losing my religion - bonus track,40.0,185.0,7chfbqQEd0M1cJPwybXaZD,2020-10-23,279701.0,0.171,0.666,0.43,0.000296,0.102,-8.458,0.0309,119.037,0.307,4.0,0.0,4.0,1.0,2024-04-17,Ultimate Covers,0.25400420704692594,0.45876985105675716
